"listing_id","avg_sentiment","review_count","complaint_counts","top_complaint","top_complaint_n","example_snippet","complaint_snippets"
"735980111820470357","0.30897619047619046","21","","","","",""
"736121878109896478","0.5340666666666666","3","","","","",""
"736147821899392194","0.17531973684210525","152","{""accuracy"": 1, ""wifi"": 1}","accuracy","1.0","Le logement est identique a la description et aux photos.","{""accuracy"": ""Le logement est identique a la description et aux photos."", ""wifi"": ""El WiFi era muy bueno tambi\u00e9n.""}"
"736192174844972264","0.131","65","{""wifi"": 2}","wifi","2.0","Aún no habíamos llegado al alojamiento y ya teníamos la clave wifi.","{""wifi"": ""A\u00fan no hab\u00edamos llegado al alojamiento y ya ten\u00edamos la clave wifi.""}"
"736223512352558485","0.18867384615384616","130","","","","",""
"736316834020773891","0.0","1","","","","",""
"736594122460154237","0.8492000000000001","3","","","","",""
"736645096685367660","0.3612","5","","","","",""
"736740288442218715","0.1076627027027027","185","{""wifi"": 1}","wifi","1.0","Dispone de wifi, pero al ser de una vivienda, y encontrarse bajo el nivel del suelo, la cobertura en algunas zonas es inexistente.","{""wifi"": ""Dispone de wifi, pero al ser de una vivienda, y encontrarse bajo el nivel del suelo, la cobertura en algunas zonas es inexistente.""}"
"736786389983487472","0.37663900709219855","141","{""wifi"": 1}","wifi","1.0","También queremos destacar que el internet era súper rápido, lo cual nos fue de gran ayuda para trabajar durante nuestra estancia.","{""wifi"": ""Tambi\u00e9n queremos destacar que el internet era s\u00faper r\u00e1pido, lo cual nos fue de gran ayuda para trabajar durante nuestra estancia.""}"
"736908246244539038","0.0","2","","","","",""
"737362599182238414","0.21783333333333335","15","","","","",""
"737398751972761246","0.20295","22","{""wifi"": 2, ""maintenance"": 1, ""comfort"": 1}","wifi","2.0","Y no habí wifi en la casa.","{""wifi"": ""Y no hab\u00ed wifi en la casa."", ""maintenance"": ""But the toilet/bathroom is very small, the room doesn't have lock, refrigerator was OFF and no air conditioning unit in the room as per the description."", ""comfort"": ""But the toilet/bathroom is very small, the room doesn't have lock, refrigerator was OFF and no air conditioning unit in the room as per the description.""}"
"737438642961506280","0.47283096446700507","197","{""accuracy"": 1}","accuracy","1.0","Un très bon échange avec Raul Les moins : les photos sont prises avec une lumière artificielle, donc presque aucune lumière de l'extérieur.","{""accuracy"": ""Un tr\u00e8s bon \u00e9change avec Raul Les moins : les photos sont prises avec une lumi\u00e8re artificielle, donc presque aucune lumi\u00e8re de l'ext\u00e9rieur.""}"
"737457422173195817","0.29257027027027027","185","{""wifi"": 1}","wifi","1.0","Aspectos positivos: el agua sale caliente nada más abrir el grifo, televisión en cuarto y salón, lavavajillas, calefacción y wifi disponibles.","{""wifi"": ""Aspectos positivos: el agua sale caliente nada m\u00e1s abrir el grifo, televisi\u00f3n en cuarto y sal\u00f3n, lavavajillas, calefacci\u00f3n y wifi disponibles.""}"
"737503428316362770","0.5612597402597402","154","","","","",""
"737629096765246855","0.2463","2","","","","",""
"737637370668799404","0.22890875","80","","","","",""
"737657354345442676","-0.4724","4","{""wifi"": 1}","wifi","1.0","Si no tienes internet o se te acaba la batería literalmente no puedes abrir las puertas y te quedas en la calle.","{""wifi"": ""Si no tienes internet o se te acaba la bater\u00eda literalmente no puedes abrir las puertas y te quedas en la calle.""}"
"737666848211230334","0.2893482142857143","168","{""maintenance"": 2, ""wifi"": 1, ""comfort"": 1}","maintenance","2.0","De ce fait, l’accès aux toilettes qui est dans la salle de bain est un peu délicat car nous devons attendre que les autres personnes aient fini pour y avoir accès.","{""maintenance"": ""De ce fait, l\u2019acc\u00e8s aux toilettes qui est dans la salle de bain est un peu d\u00e9licat car nous devons attendre que les autres personnes aient fini pour y avoir acc\u00e8s."", ""wifi"": ""Bastante agradable, en relaci\u00f3n precio es aceptable para una estad\u00eda corta, pueden mejorar, el \u00fanico problema fue el internet que no ten\u00edan, pero del resto muy buena atenci\u00f3n y relativamentw todo muy cerca."", ""comfort"": ""The shower head horrible, it was hand shower, very uncomfortable""}"
"738151274770493614","0.16994444444444445","18","{""cleanliness"": 1, ""maintenance"": 1}","cleanliness","1.0","We found mold halfway through our stay on the nightstand next to the bed.","{""cleanliness"": ""We found mold halfway through our stay on the nightstand next to the bed."", ""maintenance"": ""I noticed weird black spots in the shower as well.""}"
"738263345296167274","0.18159267015706804","191","","","","",""
"738323595442666179","0.23646666666666669","12","","","","",""
"738336673168423745","0.2375546511627907","172","{""wifi"": 1, ""cleanliness"": 1, ""maintenance"": 2, ""comfort"": 1}","maintenance","2.0","The shower and toilet were very clean though.","{""wifi"": ""La velocidad de la conexi\u00f3n del WiFi es excelente, incluso se puede ver Netflix ;-)."", ""cleanliness"": ""Additionally, the bed sheets, blankets, and pillows were old and dirty."", ""maintenance"": ""The shower and toilet were very clean though."", ""comfort"": ""Additionally, the bed sheets, blankets, and pillows were old and dirty.""}"
